13 21 1
  0 5 + 0

13 22 3
  0 6 + 0
  1.85 2 + 1
    1.85 1 0
  2.21 2 + 2
    0.36 0.5 1
    2.21 0.5 0

13 23 8
  0 5 + 0
  0.55 1 + 1
    0.55 1 0
  1.773 3 + 1
    1.773 1 0
  2.575 7 + 1
    0.802 1 2
  3.197 3 + 2
    0.622 0.5 3
    1.424 0.5 2
  3.718 5 + 2
    3.168 0.5 1
    3.718 0.5 0
  4.2 7 + 2
    1.625 0.5 3
    2.427 0.5 2
  11.78 5 + 2
    11.23 0.5 1
    11.78 0.5 0

13 24 51
  0 8 + 0
  0.4258 2 + 1
    0.4258 1 0
  0.511 4 + 1
    0.511 1 0
  1.111 4 + 2
    0.6 0.5 2
    1.111 0.5 0
  1.275 6 + 1
    0.8492 1 1
  1.563 8 + 2
    1.052 0.5 2
    1.563 0.5 0
  1.638 6 + 2
    0.363 0.5 4
    1.2122 0.5 1
  2.369 8 + 2
    1.858 0.5 2
    2.369 0.5 0
  2.546 10 + 2
    0.908 0.5 6
    1.271 0.5 4
  2.832 6 + 2
    1.557 0.5 4
    2.4062 0.5 1
  2.92 4 + 2
    2.409 0.5 2
    2.92 0.5 0
  3.027 2 + 2
    1.752 0.5 4
    2.6012 0.5 1
  3.306 4 + 2
    2.795 0.5 2
    3.306 0.5 0
  3.37 2 + 2
    2.095 0.5 4
    2.9442 0.5 1
  3.384 0 - 2
    0.357 0.5 11
    2.9582 0.5 1
  3.492 2 - 2
    2.381 0.5 3
    2.981 0.5 2
  3.608 0 - 2
    0.581 0.5 11
    3.1822 0.5 1
  3.716 2 - 2
    2.605 0.5 3
    3.205 0.5 2
  3.909 4 - 2
    2.634 0.5 4
    3.4832 0.5 1
  4.057 2 - 2
    2.946 0.5 3
    3.546 0.5 2
  4.129 0 - 2
    1.102 0.5 11
    3.7032 0.5 1
  4.315 4 - 2
    3.04 0.5 4
    3.8892 0.5 1
  4.4 2 + 2
    3.125 0.5 4
    3.9742 0.5 1
  4.488 6 - 2
    3.977 0.5 2
    4.488 0.5 0
  4.67 2 + 2
    3.395 0.5 4
    4.2442 0.5 1
  4.762 4 - 2
    3.487 0.5 4
    4.3362 0.5 1
  4.97 2 + 2
    3.695 0.5 4
    4.5442 0.5 1
  5.045 6 - 2
    4.534 0.5 2
    5.045 0.5 0
  5.337 4 - 2
    4.062 0.5 4
    4.9112 0.5 1
  5.43 2 + 2
    4.155 0.5 4
    5.0042 0.5 1
  5.47 0 - 2
    2.443 0.5 11
    5.0442 0.5 1
  5.531 4 - 2
    4.256 0.5 4
    5.1052 0.5 1
  5.614 6 - 2
    5.103 0.5 2
    5.614 0.5 0
  5.692 4 - 2
    4.417 0.5 4
    5.2662 0.5 1
  5.788 2 + 2
    4.513 0.5 4
    5.3622 0.5 1
  5.908 0 - 2
    2.881 0.5 11
    5.4822 0.5 1
  5.957 0 + 2
    4.846 0.5 3
    5.446 0.5 2
  6.005 4 - 2
    4.73 0.5 4
    5.5792 0.5 1
  6.17 6 - 2
    5.659 0.5 2
    6.17 0.5 0
  6.25 2 + 2
    4.975 0.5 4
    5.8242 0.5 1
  6.324 4 - 2
    5.049 0.5 4
    5.8982 0.5 1
  6.462 12 - 1
    3.916 1 8
  6.53 2 + 2
    5.255 0.5 4
    6.1042 0.5 1
  6.554 6 - 2
    6.043 0.5 2
    6.554 0.5 0
  6.697 4 + 2
    6.186 0.5 2
    6.697 0.5 0
  6.797 2 - 2
    5.686 0.5 3
    6.286 0.5 2
  6.925 8 + 2
    6.414 0.5 2
    6.925 0.5 0
  7.086 4 - 2
    5.811 0.5 4
    6.6602 0.5 1
  7.36 2 + 2
    6.085 0.5 4
    6.9342 0.5 1
  7.441 6 - 2
    6.93 0.5 2
    7.441 0.5 0
  7.679 0 + 2
    6.568 0.5 3
    7.168 0.5 2

13 25 72
  0 5 + 0
  0.4517 1 + 1
    0.4517 1 0
  0.9449 3 + 2
    0.4932 0.6098 1
    0.9449 0.3902 0
  1.6125 7 + 1
    1.6125 1 0
  1.7895 5 + 3
    0.8446 0.4 2
    1.3378 0.38 1
    1.7895 0.22 0
  2.4853 1 + 3
    1.5404 0.156006 2
    2.0336 0.817033 1
    2.4853 0.026961 0
  2.6733 3 + 4
    0.8838 0.427885 4
    1.7284 0.005135 2
    2.2216 0.314089 1
    2.6733 0.252891 0
  2.7202 7 + 3
    0.9307 0.289312 4
    1.7753 0.628925 2
    2.7202 0.081763 0
  3.062 3 - 3
    2.1171 0.1203 2
    2.6103 0.7519 1
    3.062 0.1278 0
  3.4242 9 + 2
    1.8117 0.8403 3
    3.4242 0.1597 0
  3.6955 7 - 3
    0.9753 0.032468 7
    1.906 0.649355 4
    3.6955 0.318178 0
  3.823 1 - 3
    1.3377 0.051509 5
    2.8781 0.628094 2
    3.3713 0.320397 1
  3.8591 5 + 8
    0.7971 0.00384 8
    1.1389 0.09408 7
    1.1858 0.07872 6
    2.0696 0.0608 4
    2.2466 0.01939 3
    2.9142 0.640001 2
    3.4074 0.003968 1
    3.8591 0.0992 0
  4.026 5 + 2
    2.4135 0.4012 3
    4.026 0.5988 0
  4.192 3 + 2
    3.2471 0.5 2
    3.7403 0.5 1
  4.516 9 + 2
    2.7265 0.5 4
    4.516 0.5 0
  4.582 5 + 1
    3.6371 1 2
  4.906 7 + 2
    3.2935 0.5 3
    3.9611 0.5 2
  5.045 3 - 2
    4.5933 0.5 1
    5.045 0.5 0
  5.068 1 - 2
    2.3947 0.5 6
    4.1231 0.5 2
  5.083 3 - 2
    4.6313 0.5 1
    5.083 0.5 0
  5.101 1 - 2
    2.4277 0.5 6
    4.1561 0.5 2
  5.116 3 - 2
    4.6643 0.5 1
    5.116 0.5 0
  5.232 5 - 2
    3.6195 0.5 3
    4.2871 0.5 2
  5.285 1 + 2
    4.8333 0.5 1
    5.285 0.5 0
  5.526 3 - 2
    5.0743 0.5 1
    5.526 0.5 0
  5.597 11 - 2
    1.9015 0.5 10
    2.1728 0.5 9
  5.686 5 - 2
    4.0735 0.5 3
